ts_code,year,营业总收入(亿),净利润(亿),股本(万),每股分红,分红金额(亿),分红率,净利润率
000049.SZ,2021,194.7085,7.9232,30029.897,0.75,2.2522,28.43,4.07
000049.SZ,2020,193.9782,6.6524,20719.7738,1.0,2.072,31.15,3.43
000049.SZ,2019,184.4269,5.0288,20719.7738,0.7,1.4504,28.84,2.73
000049.SZ,2018,172.4923,4.017,20524.3738,0.25,0.5131,12.77,2.33
000049.SZ,2017,124.8598,3.0067,20524.3738,0.25,0.5131,17.07,2.41
000049.SZ,2016,87.2441,2.5552,20524.3738,0.25,0.5131,20.08,2.93
000049.SZ,2015,84.3419,2.3016,20524.3738,0.15,0.3079,13.38,2.73
000049.SZ,2014,63.896,2.3516,20524.3738,0.19,0.39,16.58,3.68
000049.SZ,2013,44.025,2.0588,13682.9159,0.44999999999999996,0.6157,29.91,4.68
000049.SZ,2012,31.9523,1.4362,13682.916,0.36,0.4926,34.3,4.49
000049.SZ,2011,22.4632,1.1932,13682.916,0.225,0.3079,25.8,5.31
000049.SZ,2010,13.1602,0.7138,13682.916,0.09,0.1231,17.25,5.42
